text_len,count
1,46286
2,65106
3,105299
4,140067
5,155395
6,171550
7,197207
8,212589
9,235143
10,256981
11,283765
12,314299
13,347095
14,382107
15,421507
16,452074
17,478420
18,503208
19,522153
20,539626
21,542333
22,544246
23,1532011
24,551509
25,634103
26,960626
27,663189
28,659898
29,990229
30,645841
31,647466
32,656267
33,807470
34,691663
35,713755
36,744509
37,755685
38,822177
39,799701
40,810706
41,791740
42,765915
43,788030
44,777255
45,685836
46,708130
47,732901
48,714667
49,731438
50,722970
51,727496
52,730809
53,765039
54,768000
55,738983
56,812377
57,741608
58,727893
59,769168
60,718618
61,732344
62,734474
63,738952
64,704327
65,704244
66,715607
67,700341
68,673091
69,718825
70,666505
71,667866
72,671900
73,639508
74,660553
75,622206
76,640032
77,637530
78,715476
79,630965
80,635161
81,734813
82,583513
83,598876
84,598911
85,606219
86,570431
87,578659
88,567797
89,548665
90,544143
91,533022
92,546535
93,553970
94,555943
95,535361
96,525038
97,495846
98,543326
99,534307
100,523491
101,489027
102,510991
103,532454
104,529360
105,532167
106,474585
107,495465
108,540276
109,471673
110,479563
111,494696
112,557997
113,517912
114,500424
115,507424
116,501057
117,541476
118,510256
119,529051
120,524676
121,533779
122,518602
123,520815
124,574793
125,548252
126,576964
127,635635
128,653186
129,773689
130,886147
131,981194
132,1038547
133,1091818
134,1110194
135,1070277
136,1024127
137,992124
138,1085643
139,1612440
140,8484312
141,60781
142,62212
143,113194
144,371444
145,15339
146,41533
147,13537
148,47287
149,6670
150,3219
151,3262
152,9837
153,1216
154,993
155,1612
156,1081
157,505
158,1993
159,397
160,516
161,450
162,235
163,167
164,985
165,92
166,89
167,173
168,93
169,115
170,370
171,118
172,150
173,66
174,73
175,38
176,208
177,28
178,76
179,74
180,40
181,146
182,90
183,63
184,8
185,19
186,117
187,41
188,61
189,6
190,19
191,14
192,4
193,20
194,39
195,21
196,8
197,5
198,39
199,14
200,29
201,7
202,1
203,22
204,4
205,5
206,105
207,11
208,10
209,7
210,3
211,13
212,43
213,9
214,2
215,123
216,1
217,1
218,8
219,10
220,10
221,8
222,2
223,32
224,14
225,9
226,1
227,19
228,5
229,4
230,79
232,1
233,6
234,6
235,3
236,5
237,1
238,1
239,8
240,1
242,2
243,1
244,2
245,2
248,7
250,1
251,4
252,7
253,2
254,2
255,1
257,33
258,2
259,2
260,2
261,1
263,1
265,3
266,6
268,1
269,1
272,1
275,3
277,1
278,4
280,1
281,10
282,2
283,2
284,1
287,1
288,1
290,1
293,2
295,1
296,8
298,2
299,1
300,1
305,1
306,1
307,1
314,1
315,1
318,1
320,3
327,1
328,1
329,2
342,1
344,1
346,3
350,1
353,2
356,1
357,1
358,1
361,1
366,1
368,1
371,1
381,1
383,1
386,1
390,2
392,1
393,1
395,1
413,1
419,1
422,1
425,1
431,1
437,1
440,2
443,1
445,1
446,1
455,2
458,1
467,1
471,1
473,1
476,1
477,1
481,1
506,7
508,1
509,1
515,1
517,1
521,1
524,1
530,1
533,1
539,1
542,1
560,2
